일련번호,인증번호,인증일자,회사명,제품,등급,시험번호,S/W분류,제품 설명,총WD,재계약,특이사항,"시작날짜/
종료날짜",시험원
268,06-0012,2006.01.11,㈜픽셀즈,한국의 인물과 문화유산 v1.0,-,GS-05-238,교육용 SW-기타,"한국의 인물과 문화유산'은 초등학교 교과서내의 130개 중요 문화 유적지를 중심으로, 유적지의 과거, 현재 모습과 역사, 지리, 문화재, 인물, 설화/전설의 내용을 담은 가상체험 탐방 학습 콘텐츠 입니다. 
전국 11개 도, 광역시를 기준으로 분류하여, 총 130여개의 유적지를 실제 가서 보듯이 가상체험 할 수 있으며, 한국교원대학교와 각 지역별 전문가 11명의 선생님들이 학습평가와 학습문제, 능률적인 학습을 도와주는 학습가이드 까지 연구하여 탑재한 수준 높은 교육 콘텐츠 입니다. 

",,,,,"김경, 이공선"
269,06-0013,2006.01.11,㈜넷맨,IP-Plus v6.0,-,GS-05-245,시스템관리 SW-네트워크 관리(NMS),"IP-Plus는 내부 사용자들의 IP/MAC/호스트명 사용을 통제함으로써 미 인증 사용자의 네트워크 접속을 차단하고, 주요 서버 및 네트워크 장비를 IP충돌로부터 보호함으로써 네트워크 사용자들에게 보다 안정적인 전산 자원 서비스를 제공함으로써 네트워크에 대한 신뢰성을 향상 시켜 줍니다. 
또한 장비 맵을 통한 네트워크 장비의 생사확인, 성능분석을 통한 장기간 트래픽 추세분석, WDI를 통한 네트워크 장비에서의 과부하 트래픽 모니터링 및 차단 기능 등을 IP관리와 함께 단일 UI로 제공함으로써 네트워크의 성능 저하를 예방하고 보다 안정적이고, 효율적인 고품질의 네트워크 통합관리를 가능케 합니다. 

",,,,,"정도균, 유재현"
270,06-0014,2006.01.11,㈜넷맨,SOLOMON v6.0,-,GS-05-246,시스템관리 SW-네트워크 관리(NMS),"솔로몬(SOLOMON)은 네트워크 관리자가 직접 망의 실시간 트래픽 정보들을 모니터링할 수 있는 운용이 간편한 한국형 네트워크 트래픽 분석 및 관리 도구입니다. 
솔로몬의 강력한 프로토콜 분석 및 통계 기능은 트래픽 과부하 분석, 프로토콜 별 테?워크 사용량 분석, IP/MAC/서비스 포트별 세션 연결 현황을 실시간 제공함으로써 현재의 네트워크 사용 현황 정보를 신속하게 파악할 수 있습니다. 또 부가적인 네트워크 사용자 탐색, 종단간 네트워크 성능 측정 등의 기능은 트래픽 분석을 보다 효과적으로 지원함으로써 장애 현황 분석 및 처리 복구를 위한 네트워크 유지보수와 트래픽 관리 업무를 가능케 합니다. 
또한 솔로몬과 TMA(SM200/2000)를 같이 운용하면 네트워크 트래픽 현황 파악이 힘든 원격지의 트래픽 현황을 중앙에서 한눈에 모니터링 할 수 있어 집중화된 중앙 네트워크 트래픽 관제를 가능케 합니다. 따라서, 네트워크가 여러 지역으로 분산 되어 있는 대규모 네트워크의 경우 중앙 전산 통제실에서 손쉽게 원격지 네트워크 현황을 파악할 수 있습니다.",,,,,"이용호, 박정윤"
271,"08-0180
(06-0015)",2006.01.11,"㈜다우기술
(구:㈜테라스테크놀로지)",메일와쳐 v6.0,-,GS-05-286,보안용 SW-스팸및악성코드차단,"스팸메일 및 바이러스 메일과 같은 불법 트래픽 차단을 통해 메일의 송수신환경 개선과 메일시스템의 안정성 , 메일업무의 효율화를 극대화할 수 있게 지원하는 테라스테크놀로지 자체개발 솔루션 

",,,,,"김기두, 오세호"
272,06-0016,2006.01.11,㈜오에스텍,Global Contents Carrier System 인터넷 작은 창(Internet Mini Window)-Coolweb v2.0,-,GS-05-322,기업용 SW-기타,"고객사 : 국내.외의 충성도 높은 고객을 식별하고, 지속적으로 직접적인 채널을 통하여 신제품이나 기업의 정보를 이미지+텍스트+설명+웹페이지 채널을 전 세계의 대기고객에게 전송하여 주는 세계 최초의 Global Contents Carrier System.
-.사용자 : 인터넷에서 일반적으로 자주 사용하는 유용한 정보와 서비스를 인터넷 작은 창에서 누구나가 손쉽게 이용하고, 식별력있는 웹사이트를 편리하게 제공하며 사용자의 인터페이스를 고려한 인터넷의 쿨그램
",,,,,"김기두, 오세호"
273,06-0017,2006.01.18,㈜위세아이텍,WISE HR v5.0,-,GS-05-174,기업용 SW-인적자원관리(HR),"WISE HR™은 기업경영의 핵심요소인 인적자원에 대한 효율적인 관리와 올바른 의사결정을 지원하는 인적자원관리 솔루션으로, 인터넷을 통한 HR 업무의 효율화 및 셀프서비스를 제공합니다",,,,,"구자경, 신수경"
274,06-0018,2006.01.18,브레인즈스퀘어㈜,Zenius v4.0,-,GS-05-211,시스템관리 SW-통합 관리(EMS),"제니우스(Zenius)는 IT 전산 인프라 - 서버, 네트워크, DB, WAS 등-의 구성, 성능, 장애관리를 통합적으로 제공하는 통합관리솔루션이다. 
제니우스는 이기종, 분산 시스템 환경의 IT 인프라에 대한 일관된 관리정책에 따라 통합적 관리를 통하여 관리업무의 효율화, 사업영속성확보, 총소유비용(TCO)절감을 목적으로 한다. 

",,,,,"이상복, 신영민"
275,06-0019,2006.01.18,"㈜ 다이퀘스트
diquest Inc.
(구 : ㈜엔에이치엔다이퀘스트)
(구:㈜다이퀘스트)",Mariner v2.0,1등급,GS-05-221,미들웨어 SW-검색엔진,"안정적인 대용량 검색 환경에 초점을 맞춰 기존의 검색 시스템과 차별화된 완전 분산검색 아키텍처와 비동기식(asynchronous) 처리, 압축 기법 등을 채택하고 장애처리 모듈을 탑재한 차세대 검색 솔루션 
",,,,,"임성준, 강세일"
276,06-0020,2006.01.18,㈜엑셈,MaxGauge v2.5,-,GS-05-255,데이터베이스 SW-DB관리,"MaxGauge 제품은 장애관리 및 성능관리를 수행하는 시스템 관리자 또는 DB 및 애플리케이션 관리자들이 실시간 감시, 진단 및 조치, 사후분석, 성능튜닝 업무를 효과적으로 수행할 수 있도록 지원하기 위한 '성능관리 전문 도구' 입니다",,,,,"구자경, 정철"
277,06-0021,2006.01.18,㈜엑셈,BizMax v3.53,-,GS-05-256,데이터베이스 SW-DB관리,"BizMax 제품은 하나의 전산시스템을 구성하고 있는 DB, 시스템, 애플리케이션 등 각각의 컴포넌트들에 대한 장애 및 성능 관리를 효과적으로 지원하기 위한 성능관리 도구",,,,,"배정현, 이상훈"
278,06-0022,2006.01.18,㈜나라인포테크,한국어 맞춤법 문법 검사기 v3.04,-,GS-05-276,유틸리티 SW-기타,"한국어 맞춤법 문법 검사기(Korean Language Spelling and Grammar Checker)는 사용자가 불러온 글 문서나 입력한 문장에 잘못된 글자나 단어 또는 문법 표현이 있는지를 자동으로 검사하는 솔루션 이 제품은 오류로 표시한 부분에 대해 정확하고 자세한 도움말도 제공하여 사용자들이 오류 부분을 더 잘 이해할 수 있게 도와줄 수 있습니다. 
",,,,,"김선주, 이공선"
279,06-0023,2006.01.18,㈜파라시스,플라잉팝콘 (Flying PopCorn) 5,-,GS-05-320,디지털콘텐츠 SW-멀티미디어저작,"쉽고 편리한 편집방식을 활용하여 텍스트, 이미지, 사운드, 동영상, 플래시 등의 멀티미디어 자료를 화려하고 세련된 콘텐츠로 제작할 수 있으며, 간단한 기능부터 복잡한 동작까지 사용자가 원하는 결과물을 쉽고 빠르게 만들 수 있습니다. 

",,,,,"이영주, 장세헌"
280,06-0024,2006.01.18,"㈜보이스아이
(구:에이디정보통신㈜)",VOICEYE Standard Suit V1.0,-,GS-05-373,디지털콘텐츠 SW-디지털음성처리,"VOICEYE Standard Suit는 활자로 인쇄된 책이나 텍스트로 구성된 문서의 내용을 텍스트 Encoding S/W인 VOICEYE Maker를 이용하여 고밀도의 2차원 바코드(VOICEYE Symbol)로 압축한 뒤, 책이나 문서의 일정한 위치 내에 인쇄하고, 이를 고해상도의 VOICEYE Scanner(CMOS Camera)로 촬영한 이미지를 Image Processing 작업을 거친 뒤, Decoding 작업을 통해 원본 텍스트 정보를 추출하여 음성합성엔진(TTS)과의 연결을 통해 음성으로 변환하여 들려주는 VOICEYE Reader 프로그램으로 구성되어 있어 시각 장애 및 Silver계층의 불편을 해소해 줄 수 있는 제품 

",,,,,"이상복, 전형률"
281,06-0025,2006.01.25,㈜카디날정보기술, iKeeper v1.3,-,GS-05-110,보안용 SW-웹보안,"iKeeper는 ㈜카디날정보기술이 실시간 암호화 통신 기술 및 웹 클라이언트 보호 기술 등을 기반으로 하여 순수 자체 기술로 개발한 웹 보안 통합 솔루션으로써, 웹 해킹으로부터 웹 시스템을 보호하고 다양한 인터넷 서비스 환경에서 중요한 웹 컨텐츠를 보호해 주는 최적의 웹 보안 솔루션 입니다 

",,,,,"차순일, 김태헌"
282,06-0026,2006.01.25,㈜위세아이텍,WISE CAMPAIGN v5.0,-,GS-05-145,기업용 SW-기타,"다양한 채널을 통해 시행하는 마케팅 캠페인의 프로세스를 통합 관리하기 위한 캠페인관리 제품으로, 마케팅 캠페인의 전 과정을 사용자 스스로 편리하게 수행할 수 있도록 지원합니다. 다중 채널의 완벽한 통합과 파일럿 캠페인 과정의 지원을 통해, 수익성이 검증된 캠페인의 실행을 통해 마케팅 ROI를 극대화하고, 고객에게 일관되고 개인화된 마케팅을 시행할 수 있습니다. 또한, 캠페인 실행을 위한 모든 기능과 프로세스를 통합하고 견고한 분석 기반과 완벽하게 통합하여, 마케팅 순환 프로세스를 완벽하게 구현하고 각 과정을 효과적으로 관리할 수 있습니다. 

",,,,,"유재현, 박정윤"
283,06-0027,2006.01.25,㈜신시웨이,dGriffin v1.2,-,GS-05-263,보안용 SW-DB보안,"실질적인 데이터베이스 보안을 제공하고 세분화된 사용자를 기준으로 정밀한 사용자 인증, 접근 제어, 감시, 감사 등의 보안 기능을 수행하는 데이터베이스 침입방지 시스템(IPS) ",,,,,"임성준, 윤지석, 송한일"
284,06-0028,2006.01.25,㈜코리아와이즈넛,Search Formula-1 v3.5 ,-,GS-05-321,미들웨어 SW-검색엔진,"Search Formula-1은 코리아와이즈넛이 제공하는 통합검색 엔진입니다. 대용량,고속처리에 탁월한 강점을 지니고 있는 Search Formula-1은 개발 초기부터 유연성(Flexibility)과 확장성(Extensibility)을 염두에 두고 개발되었습니다. 고객의 다양한 환경과 요구를 만족시키기 위한 어떠한 Customization 작업이라도 최소의 비용으로 빠른 시일 안에 구현할 수 있도록 개발되었으므로, 다양한 플랫폼 및 솔루션과 효과적으로 통합됩니다. 

",,,,,"김현정, 유재현, 남이현"
285,06-0029,2006.01.25,㈜비즈큐브,무인디지털사물함시스템 v1.0,-,GS-05-361,임베디드 SW-기타,"스마트카드를 이용하여 전자 Lock 장치를 제어하는 방식으로 기존에 Key를 이용한 사물함 사용과 비교하여 Key 분실 등의 염려가 없으며, 전자화폐를 이용하여 금액 정산하고, 처음 사물함 배정과 반납의 본인 확인 등 보안 기능을 한층 더 강화한 사물함 시스템 


",,,,,"장세헌, 신수경"
286,06-0030,2006.01.25,"㈜포시에스
(구: 미리넷㈜)
(구:㈜포시에스)","OZ Xstudio v3.1
(OZ Xstudio v3.1)
(서비스 중지)",1등급,GS-05-392,프로그램개발 관련 SW-프로그램개발지원,OZ Xsudio는 기존의 C/S 환경의 4GL 툴처럼 UI와 보고서를 손쉽게 개발하기 위한 통합 개발환경(IDE)을 제공하는 X-인터넷 기반의 차세대 애플리케이션 개발 솔루션으로 다양한 Rich GUI 및 기능 제공으로 원하는 UI 및 보고서를 신속하고 용이하게 개발할 수 있습니다. ,,,,,"장세헌, 이영석, 신수경"
287,06-0031,2006.02.09,㈜신안정보시스템,차번인식장치주차요금관리시스템 v1.1,-,GS-05-187,임베디드 SW-교통및주차관리,"주차장 입차시 차량번호 인식장치에서 인식된 차량번호 DATA를 운영서버에서 오인식 미인식을 정상번호화 하여 출차시 번호 매칭으로 자동 요금계산하는 시스템 입니다. 
주차권발급기와 주차권을 사용하지 않고 주차관리 운영 하므로 부정요금 및 이용자간 시시비비등을 개선하고, 주차권 무사용으로 경비절략, 발급기 없으므로 A/S가 거의 발생하지 않는 시스템이면서, 경찰서와 db연동으로 도난,수배차량 검거 또한 세정과 DB와 연동하여 자동차 세금 장기체납자 색출등 현제 업무에 직집 공조할수 있는 시스템 


",,,,,"김경, 박정환"
288,06-0032,2006.02.09,㈜넷피아닷컴,PC클린 v1.2,-,GS-05-278,보안용 SW-스팸및악성코드차단,"PC클린은 PC의 성능을 저하시키는 악성 프로그램, 해킹 프로그램, 성인광고 등의 유해원인 및 한글인터넷주소 서비스 장애 요인을 치료하는 프로그램",,,,,"구자경, 김지현"
289,06-0033,2006.02.09,㈜세피스,Sefficeware v2.0,-,GS-05-319,기업용 SW-그룹웨어(Groupware),세피스웨어(SefficeWare)는 .NET 기반의 그룹웨어 솔루션으로서 인터넷을 이용한 사내 의사소통 활성화를 위한 도구로서 새로운 기업문화 달성 및 지식경영체계를 구축하여 업무처리 절차의 표준화 및 간소화를 위한 솔루션,,,,,"이용호, 김종선"
290,06-0035,2006.02.20,㈜칸소프트,오로라 2000,-,GS-05-087,유틸리티 SW-형상관리,"SW 개발 및 유지보수 단계에서 발생하는 각종 결과물(문서 및 프로그램)이'SW의 형상'이고, 이를 관리하는 것을 '형상관리'라고 한다. 형상관리의 대상은 '기준선 문서(baselined document)'들이며, 기준선 문서에 변경이 요구될 때 '누가, 언제, 어떻게, 왜' 문서를 변경했는지 추적할 수 있도록 관리돼야 하며, 문서들 사이의 '무결성'을 보장할 수 있어야 한다. 여기서 '기준선 문서'란 공식적으로 검토 및 동의(서명)된 것으로 향후 개발의 기초되는 것을 말한다. 오로라는 S/W 품질보증과 프로세스 개선에 필수적인 요소인 변경제어와 버전제어를 완벽하게 지원한다. 
현재, 외국툴인 하비스트, PVCS 및 크리어케이스와 경쟁을 하고 있다. 
형상관리 솔루션 L’Aurora의 가장 기본적인 기능은 Version관리(Management) 와 소프트웨어의 개발 효율성을 극대화 시키는 것이며, 추가적으로 자원(Resource)의 변경 및 이력사항을 추적할 수 있는 관리(Management) Work Flow와 S/W 개발 및 모듈 링크(Module Link)시 수작업을 최소화 시키는 자동화 기능을 추가하였다. 

형상관리는 소프트웨어 개발 전 공정에 대하여 개발 환경을 최적화 시켜 개발기간 단축 및 개발 어플리케이션의 품질에 대한 신뢰성 및 안전성을 확보하여 준다. 


",,,,,"김현정, 강세일"
291,06-0036,2006.02.20,에스지에이솔루션즈㈜,RedCastle v2.0,-,GS-05-107,보안용 SW-서버보안,"RedCastle은 관리자 권한 오남용, 외부 해킹, 내부자 불법행위 등 주요 서버에 대한 다양한 형태의 위협을 방지하고 안정적인 서비스를 제공할 수 있도록 강력한 보안 기능을 제공하는 운영체제보안솔루션(SecureOS)입니다. 
RedCastle은 국내 최초로 운영체제보안 CC (Common Criteria) 인증을 획득한 통합 서버보안솔루션으로 기존 네트워크 보안 제품과는 달리 보호해야 하는 대상 서버를 직접적으로 보호함으로써 보다 높은 차원의 보안을 실현하고 있습니다. 
RedCastle은 IT 정보 자산에 대한 궁극적인 최종 보안서비스를 제공함으로써 안전한 e-business의 기반을 구축하며 국가기관용 표준 기능을 제공함으로써 정부, 공공, 금융 등 각 기관의 정보통신 기반구조 보호를 위해 필수적인 Enterprise System Security Solution 입니다",,,,,"이영주, 김홍기"
292,06-0037,2006.02.20,비텍시스템㈜,BVM  v4.1,-,GS-05-341,임베디드 SW-기타,"예비전력으로 사용되는 축전지 뱅크(UPS, 정류기)를 원격에서 수명진단 및 고장진단을 모니터링하는 시스템으로, 단위 축전지(Unit(Cell)), 직렬 조, 축전지 뱅크 전체를 전압, 전류, 온도, 임피던스를 상시 측정하여 측정된 값의 변화를 과학적으로 분석하여, 축전지의 수명을 예측하고, 고장 진단은 물론 축전지 뱅크의 작동 상태를 원격의 담당자, 관리자에게 컴퓨터 모니터, E-Mail, 휴대폰을 통하여 전달하는 시스템 
",,,,,"정도균, 김홍기"
293,06-0038,2006.02.20,삼성네트웍스㈜,삼성 디지털컨퍼런싱 v1.5,-,GS-05-388,유틸리티 SW-화상회의,"삼성 디지털 컨퍼런싱은, 영상회의와 문서회의를 통합하여 원격지와 효율적인 다자간 회의를 할 수 있도록 지원하는 서비스입니다.
국내최초로 화상단말기와 화상중계기(MCU)를 웹상의 회의예약 및 문서공유   시스템과 통합하여 사용자가 화상단말기를 직접 작동하지 않고도 다자간 영상 및 문서회의를 편리하게 할 수 있도록 지원한 것이 큰 특징입니다. 해외법인과  국내본사의  회의,  해외 바이어들에게 신제품 설명, 지방사업장과 본사의 주간회의 등에 적용하여 출장에 소요되는 시간과 비용을 절감할 수 있습니다.
또한 원격지의 다자간 업무회의, 교육, 고객상담, 사내방송 등에 다양하게 적용 가능한 서비스입니다. 회의예약과 개설을 웹사이트에서 쉽게하고, 회의 사후 자료 관리까지 가능합니다. 고품질의 화상장비를 연계하여 마주보고 이야기하는 것 같은 효과를 창출합니다. 원격지에 있더라도 문서에서 통일된 페이지를 보고 표시도 할 수 있으므로 회의 집중도가 높아집니다.
",,,,,"이용호, 전형율"
294,06-0039,2006.02.20,㈜에너지소프트,설비운영지원시스템 v1.2,-,GS-06-015,임베디드 SW-공정제어,"설비의 합리적이고 효율적인 정비, 유지보수 및 운영관리를 위한시스템",,,,,"이상복, 송한일"
295,VT-06-001,2006.02.28,㈜오에스텍,Global Contents Carrier System Internet Mini Window -Coolweb v2.0,-,VT-05-005,기업용 SW-기타/,"국내.외의 충성도 높은 고객을 식별하고, 지속적으로 직접적인 채널을 통하여 신제품이나 기업의 정보를 이미지+텍스트+설명+웹페이지 채널을 전 세계의 대기고객에게 전송하여 주는 세계 최초의 Global Contents Carrier System 
- 인터넷에서 일반적으로 자주 사용하는 유용한 정보와 서비스를 인터넷 작은 창에서 누구나가 손쉽게 이용하고, 식별력있는 웹사이트를 편리하게 제공 

",,,,,
296,06-0040,2006.03.03,㈜세작,"CMS Platform, SEJAK v2.0",-,GS-05-318,디지털콘텐츠 SW-디지털콘텐츠관리(CMS),IT 시스템을 구축함에 있어서 “구축중심”에서 “운영중심”으로 그 동안 트랜드 위주로 일반화된 솔루션 시스템을 자사의 시스템에 적용 시키는 목적에서 실제의 사업상 이익을 목적으로 시스템을 보강해 나갈 수 있는 방향으로 그 관점을 바꾸어 보게 되었습니다. ,,,,,"배정현, 남재희"
297,06-0041,2006.03.03,(재)한국교육학술정보원(KERIS),DLS(Digital Library System) v2.0,-,GS-05-353,유틸리티 SW-기타,"DLS(Digital Library System)는 학교도서관 활성화 전략의 일환으로 개발된 시ㆍ도교육청 단위에 설치되는 표준화된 학교도서관 정보시스템으로써, 교육청 관내의 개별 학교도서관 도서관리업무(수서, 목록구축, 대출/반납 등)를 자동화하고, 인터넷 기반의 독서지원 기능(정보 검색, 독서정보제공, 독서 표현활동, 독서지도 및 상담 등)을 통합적으로 서비스할 수 있도록 지원하는 시스템 ",,,,,"차순일, 임성준, 김태헌, 신영민"
298,06-0042,2006.03.03,㈜모아인포,재미있는 이런 컴퓨터 교실 v1.2,-,GS-05-381,교육용 SW-오프라인교수학습,"웹기반 프로젝트 학습기법(Web-based Project e-Learning)을 국내의 교육 실정에 맞게 개선하여, 개인차에 따라 과제를 스스로 해결해 나가는 자기주도적인 눈높이 학습 기법을 도입하여 구현 한 ‘재미있는 이런 컴퓨터교실’은 초.중등학교의 교과과정인 문서작성, 표작성, 인터넷, 발표자료 만들기와 이미지 편집 및 동영상 제작하기 등을 스스로 학습하는 컴퓨터 교과목에 관련된 교육용 콘텐츠입니다.",,,,,"이영석, 장세헌, 신수경, 정철"
299,06-0043,2006.03.03,㈜잉카인터넷,nProtect Enterprise v2.5,-,GS-06-046,보안용 SW-PC보안,다양한 보안 요소들에 대한 중앙 보안 정책 수립/배포를 통해 개인 PC 시스템(End Point)에서 정보 유출에 대한 불법 침입을 사전에 차단 / 모니터링 함으로써 보다 안전하고 체계적인 기업내 클라이언트 통합 보안 시스템을 구축할 수 있도록 개발된 제품,,,,,"박진홍, 이공선"
300,06-0044,2006.03.17,㈜융시스템,"NTracerIPS v6.0
(서비스 중지)",-,GS-05-169,보안용 SW-침입탐지(IDS),"NTracer 는 Windows 서버에서 발생하는 감사 정보와 해당 Host로 들어오는 Network Packet을 수집하여 침입을 방지하는 시스템으로 관리자가 언제, 어디서나 WebBrowser를 이용, 사용자 인증을 거친 후 안전하고 편리하게 침입 정보를 확인하고 Agent를 관리할 수 있습니다. ",,,,,"이상복, 송한일"
301,06-0045,2006.03.17,㈜클루닉스,엔클러스터 v1.6,-,GS-05-266,시스템관리 SW-시스템 관리(SMS),"엔클러스터는 여러 대의 서버를 연결하여 한 대의 서버처럼 서비스할 수 있게 해 주는 클러스터 솔루션으로, 중단없는 서비스와 무한 성능확장을 보장하는 고성능, 고가용성의 소프트웨어 L4스위치입니다. ",,,,,"박상욱, 김선주, 이공선"
302,06-0046,2006.03.17,화인시스템㈜,HI-FACS v2.1,-,GS-05-348,임베디드 SW-공정제어,"각종 자동제어 시스템에 대하여 운영,조작 및 관리를 통합적으로 제공하는 범용 HMI소프트웨어입니다. 
HI-FACS는 32BIT운영체제에서 최적화로 운영되도록 설계되어, 산업 자동화 분야에서 원격 감시/제어 SOLUTION을 제공하며, 소규모 및 대규모 시스템에 적용할 수 있습니다.",,,,,"임성준, 차순일, 이용호, 배정현"
303,06-0047,2006.03.17,㈜이노토브,"AnyEraser Enterprise Edition v2.0
(서비스 중지)",-,GS-06-020,유틸리티 SW-데이터영구삭제,"AnyEraser Enterprise Edition은 컴퓨터 폐기, 매각 또는 리스PC 반환 시 하드디스크 상에 저장되어 있는 중요정보를 어떠한 복구 툴로도 복구가 되지 않도록 영구적으로 삭제함으로써 하드디스크를 통한 정보유출을 방지하기 위한 데이터 영구삭제 소프트웨어입니다. AnyEraser Enterprise Edition은 전체 디스크 또는 파티션 단위의 영구삭제, 파일 및 폴더 단위의 영구삭제, 개인 프라이버시정보의 영구삭제, 주기적인 영구삭제기능을 지원합니다.",,,,,"서연규, 김필수"
304,06-0048,2006.03.17,메타라이츠㈜,iTag-IS v1.0,-,GS-06-029,임베디드 SW-RFID,"RFID(Radio Frequency Identification) 네트워크 상에서 RFID 태그를 사물에 부착하고 상품의 내역확인, 위치경로 추적, 실시간 정보 관리 등을 할 수 있는 EPCIS (Electronic Product Code Information Service) 표준 기반의 RFID 응용 애플리케이션입니다.",,,,,"박정환, 김종선"
305,06-0049,2006.03.17,"㈜넥스챌
(구 :㈜동민정보통신)","현장제어장치 운영소프트웨어 v2.0
(CSUMS(Channel Service Unit Management Software) v2.0)",-,GS-06-081,시스템관리 SW-감시장비제어,"원격지 무인 시설에 설치되어 있는 옥외용 카메라, 옥내용 카메라, 투광등, 방범감지기, 스피커 등의 감시장비를 관리하기 위한 솔루션",,,,,"이용호, 김홍기"
306,"06-0208 
(06-0050)",2006.03.17,"㈜더블유유아이에스티
(구: 우리정보기술)",우리골재관리 v5.0,-,GS-06-105,임베디드 SW-기타,"덤프트럭에 실린 모래,자갈, 폐기물, 쓰레기 등의 무게를 측정하여 반출가격을 산출하여, 영수증을 발행하는 과정을 전산화 한 소프트웨어",,,,,"김경, 전형율"
307,06-0052,2006.03.24,㈜유토닉스,UTO-PMS v2.0,-,GS-06-021,기업용 SW-프로젝트관리(PMS),"UTO-PMS는 기업연구소 및 공공기관 산하 연구소의 성공적인 사업 및 프로젝트의 수행 및 지원을 위해 연구원의 연구 활동부터 행정 / 관리에 이르기까지 모든 지식과 자원을 관리 공유함으로써 프로젝트의 경쟁력을 강화하고 프로젝트의 성공과 내실화에 그 목적을 있다. UTO-PMS는 국내 대기업 및 공공기관에 현재 적용되어 사용하고 있으며, 현재는 Package로 구성되어 Version 2.0으로 Upgrade된 상태이다.
 UTO-PMS의 개발 방법론은 CMM과 PSI(Package Software Implementation)로 이루어져 있다. ",,,,,"이상복, 김기두, 김현정"
308,06-0053,2006.03.24,㈜마크애니,Document Safer v2.5,-,GS-06-034,보안용 SW-기타,"Document SAFER는 기밀 문서 파일, 중요한 제품관련 데이터 등 원천 파일 자체를 암호화하고 인증된 사용자만이 사용할 수 있도록 하는 보안 솔루션
 지식관리시스템 또는 전자문서관리시스템(이하 지식관리시스템)에 저장되는 원천 문서 파일을 생성시부터 암호화 하고, 적용된 권한 규칙에 따라 문서를 사용할 수 있도록 합니다. 사용자가 문서 파일을 다운로드 받는 시점에서 이미 설정된 사용자 권한정책(Access Control Logic)이 적용됨으로써 다운로드된 파일에 대하여 읽기 및 저장, 복사, 출력 등을 제한 할 수 있습니다. 파일은 언제나 암호화된 상태로 존재하며 인증된 사용자의 PC에서만 사용이 가능하기 때문에, 사용자 간의 불법 복제 및 외부 배포 방지, CD Copy를 통한 자료의 유출 시 정보 사용이 불가능하도록 원천적으로 방지 할 수 있습니다. 또한 팀이나 외부 협력 업체와의 협업시에도 보안이 적용된 파일을 권한에 따라 공유함으로써, 안전한 e-협업을 구축할 수 있도록 하는 솔루션",,,,,"배정현, 남재희"
309,06-0054,2006.03.24,㈜마크애니,Content Safer v3.0,1등급,GS-06-036,보안용 SW-디지털콘텐츠보안,"ContentSafer™는 멀티미디어 콘텐츠(동영상, 이미지, 오디오 등)가 안전한 유통 플랫폼에서 콘텐츠가 제값을 받는 상품으로 인정 받고 팔릴 수 있도록 불법 복제나 유통을 방지하는 솔루션 입니다. 이미지,오디오, 비디오 등의 디지털 콘텐츠가 컴퓨터에서는 손쉽게 대량 복사될 수 있으며 복사후 원본과 비트 하나 틀리지 않은 동일한 파일로 만들어지기 때문에 인터넷을 통한 디지털 콘텐츠의 불법 유통이 빠르게 확산 되고 있습니다. 이러한 불법 유통을 원천적으로 방지 하기 위해 마크애니에서 자체 개발한 DRM(Digital Rights Management)과 Watermarking 기술을 응용해 유무선 콘텐츠의 불법 복제 및 유통을 제어할 수 있습니다.",,,,,"이용호, 김경, 김홍기"
310,06-0056,2006.04.11,㈜티맥스소프트,BizMaster v4.5,-,GS-05-148,기업용 SW-비즈니스관리(BPM),"BPM(Business Process Management)은 기업 내외의 업무 프로세스를 가시화하고, 업무의 수행과 관련된 사람, 시스템을 프로세스에 맞게 실행/ 통제하며, 전체 업무 프로세스를 효율적으로 관리하고 최적화할 수 있도록 지원하는 시스템입니다",,,,,"차순일, 김태헌, 신영민"
311,06-0057,2006.04.11,에스케이씨앤씨㈜,SK-UPEX Enterprise v1.0,-,GS-05-326,GIS SW-도로및상하수도시설물관리,"SK-UPEX Enterprise는 건설교통부의 고시(2002-137, 2003-286호)에 의거하여 작성된 범용 기본설계서에 근거하여 SK씨앤씨가 제작한 프로그램으로서, 도로 및 도로시설물, 상수도 및 상수시설물, 하수도 및 하수시설물에 대한 조회, 편집 등의 관리업무와 공사대장, 통계, 분석기능 등을 구현한 프로그램 또한 SK-UPEX Enterprise는 기존 인증 소프트웨어(SK-UPEX, SK-UPEX RD)를 바탕으로 닷넷프레임워크 등의 최신기술을 적용하여 한단계 업그레이드한 제품",,,,,"박상욱, 이공선, 양현진"
312,06-0058,2006.04.11,한양정보기술㈜,"SMIS v1.0
(서비스 중지)",-,GS-06-023,기업용 SW-경영정보관리(MIS),Steel Service Center를 위한 통합경영정보시스템 으로 POSCO 철강 VAN을 통한 자동입고처리로 사무생산성 향상시킴,,,,,"이영주, 이상훈"
313,06-0059,2006.04.11,㈜포위즈시스템 ,WIZ-KMS v1.0,-,GS-06-025,기업용 SW-지식관리(KMS),"조직 내,외부에 산재되어 있는 지식정보를 통합하고, 조직과 구성원이 보유하고 있는 지식과 경험을 공유, 활용함으로써 새로운 지식창출을 촉진하여 업무 효율을 높여 대외 경쟁력향상을 지원하는 시스템입니다",,,,,"구자경, 김지현, 유재현"
